	language	country	zipcode
16	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
17	en	Italy	[]
18	en	United States	[SimpleZipcode(zipcode='32603', zipcode_type='Standard', major_city='Gainesville', post_office_city='Gainesville, FL', common_city_list=['Gainesville'], county='Alachua County', state='FL', lat=29.656, lng=-82.348, timezone='Eastern', radius_in_miles=0.6818181818181818, area_code_list=['352'], population=6741, population_density=4925.0, land_area_in_sqmi=1.37, water_area_in_sqmi=0.01, housing_units=2316, occupied_housing_units=2127, median_home_value=273000, median_household_income=17857, bounds_west=-82.372499, bounds_east=-82.339171, bounds_north=29.662835, bounds_south=29.637635)]
19	en	Indonesia	[]
20	en	Pakistan	[]
21	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
22	en	Australia	[]
23	en	United States	[]
24	en	United States	[SimpleZipcode(zipcode='34983', zipcode_type='Standard', major_city='Port Saint Lucie', post_office_city='Port Saint Lucie, FL', common_city_list=['Port Saint Lucie', 'Fort Pierce', 'Port St Lucie', 'Saint Lucie ...'], county='St. Lucie County', state='FL', lat=27.32, lng=-80.35, timezone='Eastern', radius_in_miles=4.0, area_code_list=['772'], population=38480, population_density=2569.0, land_area_in_sqmi=14.98, water_area_in_sqmi=0.24, housing_units=15795, occupied_housing_units=14014, median_home_value=114200, median_household_income=47978, bounds_west=-80.38406, bounds_east=-80.31324, bounds_north=27.37451, bounds_south=27.271862)]
25	en	United States	[SimpleZipcode(zipcode='94590', zipcode_type='Standard', major_city='Vallejo', post_office_city='Vallejo, CA', common_city_list=['Vallejo'], county='Solano County', state='CA', lat=38.1, lng=-122.25, timezone='Pacific', radius_in_miles=3.0, area_code_list=['707'], population=35420, population_density=5959.0, land_area_in_sqmi=5.94, water_area_in_sqmi=0.97, housing_units=15729, occupied_housing_units=13851, median_home_value=181700, median_household_income=41819, bounds_west=-122.281398, bounds_east=-122.225885, bounds_north=38.132364, bounds_south=38.061018)]
26	en	United States	[SimpleZipcode(zipcode='01701', zipcode_type='Standard', major_city='Framingham', post_office_city='Framingham, MA', common_city_list=['Framingham'], county='Middlesex County', state='MA', lat=42.32, lng=-71.43, timezone='Eastern', radius_in_miles=4.0, area_code_list=['508', '774', '781', '978'], population=31217, population_density=1841.0, land_area_in_sqmi=16.96, water_area_in_sqmi=0.7, housing_units=12590, occupied_housing_units=12199, median_home_value=356800, median_household_income=86994, bounds_west=-71.493182, bounds_east=-71.377687, bounds_north=42.35313, bounds_south=42.29331)]
27	en	United States	[SimpleZipcode(zipcode='92865', zipcode_type='Standard', major_city='Orange', post_office_city='Orange, CA', common_city_list=['Orange'], county='Orange County', state='CA', lat=33.83, lng=-117.85, timezone='Pacific', radius_in_miles=1.0, area_code_list=['714'], population=19704, population_density=5384.0, land_area_in_sqmi=3.66, water_area_in_sqmi=0.15, housing_units=6659, occupied_housing_units=6342, median_home_value=441200, median_household_income=85057, bounds_west=-117.870228, bounds_east=-117.83059, bounds_north=33.847053, bounds_south=33.812477)]
28	en	United States	[SimpleZipcode(zipcode='19134', zipcode_type='Standard', major_city='Philadelphia', post_office_city='Philadelphia, PA', common_city_list=['Philadelphia', 'Phila'], county='Philadelphia County', state='PA', lat=39.99, lng=-75.11, timezone='Eastern', radius_in_miles=2.0, area_code_list=['215', '267'], population=60675, population_density=17295.0, land_area_in_sqmi=3.51, water_area_in_sqmi=0.3, housing_units=23000, occupied_housing_units=20080, median_home_value=75700, median_household_income=24291, bounds_west=-75.131937, bounds_east=-75.083781, bounds_north=40.009893, bounds_south=39.968358)]
29	en	United Kingdom	[]
30	en	United States	[]
31	en	Italia	[]
32	en	United States	[SimpleZipcode(zipcode='92234', zipcode_type='Standard', major_city='Cathedral City', post_office_city='Cathedral City, CA', common_city_list=['Cathedral City', 'Cathedral Cty'], county='Riverside County', state='CA', lat=33.82, lng=-116.47, timezone='Pacific', radius_in_miles=5.0, area_code_list=['760'], population=51151, population_density=3251.0, land_area_in_sqmi=15.73, water_area_in_sqmi=0.26, housing_units=20958, occupied_housing_units=17019, median_home_value=179400, median_household_income=44440, bounds_west=-116.493477, bounds_east=-116.440566, bounds_north=33.867515, bounds_south=33.759202)]
33	en	Indonesia	[]
34	en	United States	[SimpleZipcode(zipcode='22201', zipcode_type='Standard', major_city='Arlington', post_office_city='Arlington, VA', common_city_list=['Arlington'], county='Arlington County', state='VA', lat=38.89, lng=-77.1, timezone='Eastern', radius_in_miles=1.0, area_code_list=['571', '703'], population=33476, population_density=14311.0, land_area_in_sqmi=2.34, water_area_in_sqmi=0.0, housing_units=18985, occupied_housing_units=17863, median_home_value=601600, median_household_income=113683, bounds_west=-77.120672, bounds_east=-77.077924, bounds_north=38.901655, bounds_south=38.871316)]
35	en	United States	[SimpleZipcode(zipcode='85374', zipcode_type='Standard', major_city='Surprise', post_office_city='Surprise, AZ', common_city_list=['Surprise', 'Sun City'], county='Maricopa County', state='AZ', lat=33.65, lng=-112.4, timezone='America/Phoenix', radius_in_miles=5.0, area_code_list=['623'], population=47146, population_density=2899.0, land_area_in_sqmi=16.26, water_area_in_sqmi=0.02, housing_units=26224, occupied_housing_units=20386, median_home_value=174800, median_household_income=49093, bounds_west=-112.46033, bounds_east=-112.298492, bounds_north=33.679715, bounds_south=33.623477)]
36	en	United States	[SimpleZipcode(zipcode='65032', zipcode_type='Standard', major_city='Eugene', post_office_city='Eugene, MO', common_city_list=['Eugene'], county='Miller County', state='MO', lat=38.3, lng=-92.4, timezone='Central', radius_in_miles=9.0, area_code_list=['573'], population=1792, population_density=31.0, land_area_in_sqmi=57.33, water_area_in_sqmi=0.5, housing_units=718, occupied_housing_units=656, median_home_value=115300, median_household_income=58500, bounds_west=-92.453998, bounds_east=-92.291516, bounds_north=38.446631, bounds_south=38.244728)]
37	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
38	en	United States	[SimpleZipcode(zipcode='48315', zipcode_type='Standard', major_city='Utica', post_office_city='Utica, MI', common_city_list=['Utica', 'Shelby Township', 'Shelby Twp'], county='Macomb County', state='MI', lat=42.67, lng=-83.0, timezone='Eastern', radius_in_miles=4.0, area_code_list=['586'], population=26563, population_density=2081.0, land_area_in_sqmi=12.77, water_area_in_sqmi=0.16, housing_units=10429, occupied_housing_units=10000, median_home_value=219300, median_household_income=69171, bounds_west=-83.025995, bounds_east=-82.973317, bounds_north=42.715905, bounds_south=42.626334)]
39	en	United States	[SimpleZipcode(zipcode='21201', zipcode_type='Standard', major_city='Baltimore', post_office_city='Baltimore, MD', common_city_list=['Baltimore'], county='Baltimore city', state='MD', lat=39.29, lng=-76.62, timezone='Eastern', radius_in_miles=1.0, area_code_list=['410', '443', '667', '301'], population=16972, population_density=13158.0, land_area_in_sqmi=1.29, water_area_in_sqmi=0.0, housing_units=11255, occupied_housing_units=9765, median_home_value=208500, median_household_income=27465, bounds_west=-76.634132, bounds_east=-76.613775, bounds_north=39.31214, bounds_south=39.278926)]
40	en	United States	[SimpleZipcode(zipcode='10023', zipcode_type='Standard', major_city='New York', post_office_city='New York, NY', common_city_list=['New York'], county='New York County', state='NY', lat=40.78, lng=-73.98, timezone='Eastern', radius_in_miles=0.7386363636363636, area_code_list=['212', '347', '646', '718', '917'], population=60998, population_density=124357.0, land_area_in_sqmi=0.49, water_area_in_sqmi=0.0, housing_units=39402, occupied_housing_units=34383, median_home_value=872500, median_household_income=103534, bounds_west=-73.990149, bounds_east=-73.974067, bounds_north=40.783192, bounds_south=40.768436)]
41	en	United States	[SimpleZipcode(zipcode='84180', zipcode_type='Standard', major_city='Salt Lake City', post_office_city='Salt Lake City, UT', common_city_list=['Salt Lake City', 'Salt Lake Cty', 'Slc'], county='Salt Lake County', state='UT', lat=40.77, lng=-111.9, timezone='Mountain', radius_in_miles=0.22727272727272727, area_code_list=['385', '801'], population=0, population_density=None, land_area_in_sqmi=0.0, water_area_in_sqmi=0.0, housing_units=0, occupied_housing_units=0, median_home_value=None, median_household_income=None, bounds_west=-111.902535, bounds_east=-111.899674, bounds_north=40.771545, bounds_south=40.769342)]
42	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
43	en	United States	[]
44	en	United States	[SimpleZipcode(zipcode='10023', zipcode_type='Standard', major_city='New York', post_office_city='New York, NY', common_city_list=['New York'], county='New York County', state='NY', lat=40.78, lng=-73.98, timezone='Eastern', radius_in_miles=0.7386363636363636, area_code_list=['212', '347', '646', '718', '917'], population=60998, population_density=124357.0, land_area_in_sqmi=0.49, water_area_in_sqmi=0.0, housing_units=39402, occupied_housing_units=34383, median_home_value=872500, median_household_income=103534, bounds_west=-73.990149, bounds_east=-73.974067, bounds_north=40.783192, bounds_south=40.768436)]
45	en	United States	[]
46	en	United States	[SimpleZipcode(zipcode='13072', zipcode_type='Standard', major_city='Georgetown', post_office_city='Georgetown, NY', common_city_list=['Georgetown'], county='Madison County', state='NY', lat=42.76, lng=-75.77, timezone='Eastern', radius_in_miles=7.0, area_code_list=['315'], population=1123, population_density=24.0, land_area_in_sqmi=47.05, water_area_in_sqmi=0.02, housing_units=482, occupied_housing_units=372, median_home_value=85700, median_household_income=46563, bounds_west=-75.846288, bounds_east=-75.684093, bounds_north=42.827244, bounds_south=42.683334)]
47	en	United States	[SimpleZipcode(zipcode='21201', zipcode_type='Standard', major_city='Baltimore', post_office_city='Baltimore, MD', common_city_list=['Baltimore'], county='Baltimore city', state='MD', lat=39.29, lng=-76.62, timezone='Eastern', radius_in_miles=1.0, area_code_list=['410', '443', '667', '301'], population=16972, population_density=13158.0, land_area_in_sqmi=1.29, water_area_in_sqmi=0.0, housing_units=11255, occupied_housing_units=9765, median_home_value=208500, median_household_income=27465, bounds_west=-76.634132, bounds_east=-76.613775, bounds_north=39.31214, bounds_south=39.278926)]
48	en	United States	[]
49	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
