	language	country	zipcode
230	und	United States	[SimpleZipcode(zipcode='08840', zipcode_type='Standard', major_city='Metuchen', post_office_city='Metuchen, NJ', common_city_list=['Metuchen'], county='Middlesex County', state='NJ', lat=40.54, lng=-74.35, timezone='Eastern', radius_in_miles=2.0, area_code_list=['732', '848', '908'], population=16558, population_density=5324.0, land_area_in_sqmi=3.11, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6186, median_home_value=369300, median_household_income=102196, bounds_west=-74.381507, bounds_east=-74.317156, bounds_north=40.559263, bounds_south=40.527643)]
231	en	United States	[]
232	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
233	en	United States	[SimpleZipcode(zipcode='22911', zipcode_type='Standard', major_city='Charlottesville', post_office_city='Charlottesville, VA', common_city_list=['Charlottesville', 'Charlottesvle'], county='Albemarle County', state='VA', lat=38.1, lng=-78.4, timezone='Eastern', radius_in_miles=8.0, area_code_list=['434'], population=15971, population_density=313.0, land_area_in_sqmi=51.06, water_area_in_sqmi=0.57, housing_units=7055, occupied_housing_units=6449, median_home_value=303800, median_household_income=76385, bounds_west=-78.466208, bounds_east=-78.33242, bounds_north=38.18934, bounds_south=38.001459)]
234	fr	Grèce	[]
235	en	Australia	[]
236	en	Italy	[]
237	en	Canada	[]
238	en	South Africa	[]
239	en	United States	[SimpleZipcode(zipcode='55387', zipcode_type='Standard', major_city='Waconia', post_office_city='Waconia, MN', common_city_list=['Waconia'], county='Carver County', state='MN', lat=44.86, lng=-93.78, timezone='Central', radius_in_miles=7.0, area_code_list=['952'], population=12249, population_density=391.0, land_area_in_sqmi=31.36, water_area_in_sqmi=7.7, housing_units=4675, occupied_housing_units=4458, median_home_value=242000, median_household_income=78405, bounds_west=-93.874864, bounds_east=-93.682761, bounds_north=44.90552, bounds_south=44.803731)]
240	en	United States	[]
241	en	United States	[]
242	en	United States	[SimpleZipcode(zipcode='53214', zipcode_type='Standard', major_city='Milwaukee', post_office_city='Milwaukee, WI', common_city_list=['Milwaukee', 'W Milwaukee', 'West Allis', 'West Milwaukee'], county='Milwaukee County', state='WI', lat=43.02, lng=-88.01, timezone='Central', radius_in_miles=4.0, area_code_list=['262', '414'], population=34725, population_density=4775.0, land_area_in_sqmi=7.27, water_area_in_sqmi=0.01, housing_units=16929, occupied_housing_units=15688, median_home_value=137800, median_household_income=42199, bounds_west=-88.067488, bounds_east=-87.954728, bounds_north=43.036684, bounds_south=43.008797)]
243	en	United States	[SimpleZipcode(zipcode='48051', zipcode_type='Standard', major_city='New Baltimore', post_office_city='New Baltimore, MI', common_city_list=['New Baltimore', 'Chesterfield'], county='Macomb County', state='MI', lat=42.68, lng=-82.81, timezone='Eastern', radius_in_miles=4.0, area_code_list=['586'], population=17319, population_density=1150.0, land_area_in_sqmi=15.06, water_area_in_sqmi=0.06, housing_units=6187, occupied_housing_units=5796, median_home_value=134800, median_household_income=64328, bounds_west=-82.859339, bounds_east=-82.744928, bounds_north=42.735302, bounds_south=42.630234)]
244	en	United States	[]
245	en	United States	[SimpleZipcode(zipcode='15219', zipcode_type='Standard', major_city='Pittsburgh', post_office_city='Pittsburgh, PA', common_city_list=['Pittsburgh'], county='Allegheny County', state='PA', lat=40.44, lng=-79.99, timezone='Eastern', radius_in_miles=3.0, area_code_list=['412', '724'], population=16696, population_density=7277.0, land_area_in_sqmi=2.29, water_area_in_sqmi=0.38, housing_units=6708, occupied_housing_units=5628, median_home_value=73500, median_household_income=20151, bounds_west=-80.031589, bounds_east=-79.950431, bounds_north=40.459388, bounds_south=40.42598)]
246	en	United States	[SimpleZipcode(zipcode='08012', zipcode_type='Standard', major_city='Blackwood', post_office_city='Blackwood, NJ', common_city_list=['Blackwood', 'Turnersville'], county='Camden County', state='NJ', lat=39.78, lng=-75.05, timezone='Eastern', radius_in_miles=5.0, area_code_list=['856'], population=38992, population_density=2609.0, land_area_in_sqmi=14.94, water_area_in_sqmi=0.21, housing_units=15639, occupied_housing_units=14921, median_home_value=217600, median_household_income=70982, bounds_west=-75.09293, bounds_east=-75.008019, bounds_north=39.845815, bounds_south=39.722912)]
247	en	United States	[SimpleZipcode(zipcode='21201', zipcode_type='Standard', major_city='Baltimore', post_office_city='Baltimore, MD', common_city_list=['Baltimore'], county='Baltimore city', state='MD', lat=39.29, lng=-76.62, timezone='Eastern', radius_in_miles=1.0, area_code_list=['410', '443', '667', '301'], population=16972, population_density=13158.0, land_area_in_sqmi=1.29, water_area_in_sqmi=0.0, housing_units=11255, occupied_housing_units=9765, median_home_value=208500, median_household_income=27465, bounds_west=-76.634132, bounds_east=-76.613775, bounds_north=39.31214, bounds_south=39.278926)]
248	en	Italy	[]
249	en	Spain	[]
250	en	United States	[SimpleZipcode(zipcode='04103', zipcode_type='Standard', major_city='Portland', post_office_city='Portland, ME', common_city_list=['Portland'], county='Cumberland County', state='ME', lat=43.69, lng=-70.29, timezone='Eastern', radius_in_miles=3.0, area_code_list=['207'], population=30606, population_density=2998.0, land_area_in_sqmi=10.21, water_area_in_sqmi=0.81, housing_units=14053, occupied_housing_units=13391, median_home_value=230500, median_household_income=54239, bounds_west=-70.336369, bounds_east=-70.244993, bounds_north=43.727686, bounds_south=43.661124)]
251	en	United States	[SimpleZipcode(zipcode='19151', zipcode_type='Standard', major_city='Philadelphia', post_office_city='Philadelphia, PA', common_city_list=['Philadelphia', 'Overbrook Hills', 'Overbrook Hls', 'Phila'], county='Philadelphia County', state='PA', lat=39.98, lng=-75.26, timezone='Eastern', radius_in_miles=2.0, area_code_list=['215'], population=29883, population_density=12494.0, land_area_in_sqmi=2.39, water_area_in_sqmi=0.02, housing_units=13090, occupied_housing_units=11798, median_home_value=123600, median_household_income=40358, bounds_west=-75.280266, bounds_east=-75.23724, bounds_north=39.99018, bounds_south=39.962705)]
252	en	United States	[SimpleZipcode(zipcode='94402', zipcode_type='Standard', major_city='San Mateo', post_office_city='San Mateo, CA', common_city_list=['San Mateo'], county='San Mateo County', state='CA', lat=37.54, lng=-122.33, timezone='Pacific', radius_in_miles=3.0, area_code_list=['650'], population=23981, population_density=4934.0, land_area_in_sqmi=4.86, water_area_in_sqmi=0.0, housing_units=9804, occupied_housing_units=9422, median_home_value=989200, median_household_income=107124, bounds_west=-122.361134, bounds_east=-122.296325, bounds_north=37.573163, bounds_south=37.507196)]
253	en	United States	[SimpleZipcode(zipcode='28117', zipcode_type='Standard', major_city='Mooresville', post_office_city='Mooresville, NC', common_city_list=['Mooresville'], county='Iredell County', state='NC', lat=35.57, lng=-80.89, timezone='Eastern', radius_in_miles=7.0, area_code_list=['704', '980'], population=35454, population_density=888.0, land_area_in_sqmi=39.91, water_area_in_sqmi=15.92, housing_units=15417, occupied_housing_units=13322, median_home_value=353200, median_household_income=78026, bounds_west=-80.964079, bounds_east=-80.824046, bounds_north=35.654727, bounds_south=35.487699)]
254	en	United States	[SimpleZipcode(zipcode='29715', zipcode_type='Standard', major_city='Fort Mill', post_office_city='Fort Mill, SC', common_city_list=['Fort Mill'], county='York County', state='SC', lat=35.01, lng=-80.94, timezone='Eastern', radius_in_miles=7.0, area_code_list=['803'], population=24823, population_density=734.0, land_area_in_sqmi=33.83, water_area_in_sqmi=0.93, housing_units=9931, occupied_housing_units=9302, median_home_value=180400, median_household_income=70522, bounds_west=-80.983397, bounds_east=-80.868214, bounds_north=35.103234, bounds_south=34.941227)]
255	en	United States	[SimpleZipcode(zipcode='49707', zipcode_type='Standard', major_city='Alpena', post_office_city='Alpena, MI', common_city_list=['Alpena'], county='Alpena County', state='MI', lat=45.1, lng=-83.5, timezone='Eastern', radius_in_miles=17.0, area_code_list=['989'], population=22701, population_density=105.0, land_area_in_sqmi=216.06, water_area_in_sqmi=41.78, housing_units=12030, occupied_housing_units=9971, median_home_value=95000, median_household_income=38416, bounds_west=-83.674189, bounds_east=-83.188481, bounds_north=45.242145, bounds_south=44.902717)]
256	en	United States	[SimpleZipcode(zipcode='07026', zipcode_type='Standard', major_city='Garfield', post_office_city='Garfield, NJ', common_city_list=['Garfield'], county='Bergen County', state='NJ', lat=40.88, lng=-74.11, timezone='Eastern', radius_in_miles=1.0, area_code_list=[], population=30555, population_density=14038.0, land_area_in_sqmi=2.18, water_area_in_sqmi=0.06, housing_units=11814, occupied_housing_units=11098, median_home_value=342600, median_household_income=48715, bounds_west=-74.130187, bounds_east=-74.091913, bounds_north=40.893664, bounds_south=40.861458)]
257	en	United States	[SimpleZipcode(zipcode='07731', zipcode_type='Standard', major_city='Howell', post_office_city='Howell, NJ', common_city_list=['Howell', 'Wall Township'], county='Monmouth County', state='NJ', lat=40.15, lng=-74.19, timezone='Eastern', radius_in_miles=5.0, area_code_list=[], population=38304, population_density=1143.0, land_area_in_sqmi=33.52, water_area_in_sqmi=0.41, housing_units=12897, occupied_housing_units=12473, median_home_value=323800, median_household_income=98125, bounds_west=-74.270285, bounds_east=-74.114467, bounds_north=40.219443, bounds_south=40.098812)]
258	en	United States	[]
259	en	United States	[]
260	en	United States	[SimpleZipcode(zipcode='70458', zipcode_type='Standard', major_city='Slidell', post_office_city='Slidell, LA', common_city_list=['Slidell'], county='St. Tammany Parish', state='LA', lat=30.27, lng=-89.8, timezone='Central', radius_in_miles=5.0, area_code_list=['504', '985'], population=35077, population_density=1661.0, land_area_in_sqmi=21.11, water_area_in_sqmi=3.56, housing_units=15130, occupied_housing_units=13556, median_home_value=166600, median_household_income=52571, bounds_west=-89.868766, bounds_east=-89.73753, bounds_north=30.330619, bounds_south=30.209823)]
261	en	United States	[SimpleZipcode(zipcode='37190', zipcode_type='Standard', major_city='Woodbury', post_office_city='Woodbury, TN', common_city_list=['Woodbury'], county='Cannon County', state='TN', lat=35.8, lng=-86.0, timezone='Central', radius_in_miles=11.0, area_code_list=['931'], population=8787, population_density=60.0, land_area_in_sqmi=146.58, water_area_in_sqmi=0.06, housing_units=3863, occupied_housing_units=3522, median_home_value=119000, median_household_income=40549, bounds_west=-86.155934, bounds_east=-85.88921, bounds_north=35.964928, bounds_south=35.711356)]
262	en	Nigeria	[]
263	en	Australia	[]
264	en	United States	[SimpleZipcode(zipcode='48208', zipcode_type='Standard', major_city='Detroit', post_office_city='Detroit, MI', common_city_list=['Detroit'], county='Wayne County', state='MI', lat=42.35, lng=-83.09, timezone='Eastern', radius_in_miles=2.0, area_code_list=['313'], population=10234, population_density=3236.0, land_area_in_sqmi=3.16, water_area_in_sqmi=0.0, housing_units=5642, occupied_housing_units=4246, median_home_value=63900, median_household_income=20386, bounds_west=-83.111649, bounds_east=-83.06612, bounds_north=42.36581, bounds_south=42.331264)]
265	en	United States	[SimpleZipcode(zipcode='81503', zipcode_type='Standard', major_city='Grand Junction', post_office_city='Grand Junction, CO', common_city_list=['Grand Junction', 'Grand Jct'], county='Mesa County', state='CO', lat=39.02, lng=-108.5, timezone='Mountain', radius_in_miles=5.0, area_code_list=['970'], population=15250, population_density=435.0, land_area_in_sqmi=35.09, water_area_in_sqmi=0.42, housing_units=6254, occupied_housing_units=5948, median_home_value=193700, median_household_income=44405, bounds_west=-108.577852, bounds_east=-108.291141, bounds_north=39.061766, bounds_south=38.997263)]
266	en	United States	[]
267	en	United States	[SimpleZipcode(zipcode='75040', zipcode_type='Standard', major_city='Garland', post_office_city='Garland, TX', common_city_list=['Garland'], county='Dallas County', state='TX', lat=32.93, lng=-96.62, timezone='Central', radius_in_miles=3.0, area_code_list=['972'], population=59406, population_density=3795.0, land_area_in_sqmi=15.65, water_area_in_sqmi=0.01, housing_units=19195, occupied_housing_units=18164, median_home_value=113000, median_household_income=54664, bounds_west=-96.662525, bounds_east=-96.575249, bounds_north=32.969045, bounds_south=32.893943)]
268	en	United States	[SimpleZipcode(zipcode='20689', zipcode_type='Standard', major_city='Sunderland', post_office_city='Sunderland, MD', common_city_list=['Sunderland'], county='Calvert County', state='MD', lat=38.67, lng=-76.58, timezone='Eastern', radius_in_miles=2.0, area_code_list=['410'], population=1694, population_density=218.0, land_area_in_sqmi=7.78, water_area_in_sqmi=0.02, housing_units=579, occupied_housing_units=558, median_home_value=400900, median_household_income=127375, bounds_west=-76.616886, bounds_east=-76.549708, bounds_north=38.694154, bounds_south=38.63247)]
269	en	Mexico	[]
270	en	Greece	[]
271	en	United States	[SimpleZipcode(zipcode='21201', zipcode_type='Standard', major_city='Baltimore', post_office_city='Baltimore, MD', common_city_list=['Baltimore'], county='Baltimore city', state='MD', lat=39.29, lng=-76.62, timezone='Eastern', radius_in_miles=1.0, area_code_list=['410', '443', '667', '301'], population=16972, population_density=13158.0, land_area_in_sqmi=1.29, water_area_in_sqmi=0.0, housing_units=11255, occupied_housing_units=9765, median_home_value=208500, median_household_income=27465, bounds_west=-76.634132, bounds_east=-76.613775, bounds_north=39.31214, bounds_south=39.278926)]
272	en	United States	[SimpleZipcode(zipcode='70458', zipcode_type='Standard', major_city='Slidell', post_office_city='Slidell, LA', common_city_list=['Slidell'], county='St. Tammany Parish', state='LA', lat=30.27, lng=-89.8, timezone='Central', radius_in_miles=5.0, area_code_list=['504', '985'], population=35077, population_density=1661.0, land_area_in_sqmi=21.11, water_area_in_sqmi=3.56, housing_units=15130, occupied_housing_units=13556, median_home_value=166600, median_household_income=52571, bounds_west=-89.868766, bounds_east=-89.73753, bounds_north=30.330619, bounds_south=30.209823)]
273	en	United States	[SimpleZipcode(zipcode='22734', zipcode_type='Standard', major_city='Remington', post_office_city='Remington, VA', common_city_list=['Remington'], county='Fauquier County', state='VA', lat=38.54, lng=-77.83, timezone='Eastern', radius_in_miles=6.0, area_code_list=['540'], population=3187, population_density=106.0, land_area_in_sqmi=30.04, water_area_in_sqmi=0.33, housing_units=1172, occupied_housing_units=1095, median_home_value=209600, median_household_income=67125, bounds_west=-77.899054, bounds_east=-77.732694, bounds_north=38.603701, bounds_south=38.427448)]
274	en	United States	[SimpleZipcode(zipcode='90034', zipcode_type='Standard', major_city='Los Angeles', post_office_city='Los Angeles, CA', common_city_list=['Los Angeles'], county='Los Angeles County', state='CA', lat=34.03, lng=-118.4, timezone='Pacific', radius_in_miles=2.0, area_code_list=['310', '424'], population=57964, population_density=18621.0, land_area_in_sqmi=3.11, water_area_in_sqmi=0.01, housing_units=27210, occupied_housing_units=25592, median_home_value=637100, median_household_income=56946, bounds_west=-118.429918, bounds_east=-118.368792, bounds_north=34.04643, bounds_south=34.012109)]
275	en	Nigeria	[]
276	en	United Kingdom	[]
277	en	United States	[SimpleZipcode(zipcode='36006', zipcode_type='Standard', major_city='Billingsley', post_office_city='Billingsley, AL', common_city_list=['Billingsley'], county='Autauga County', state='AL', lat=32.6, lng=-86.7, timezone='Central', radius_in_miles=9.0, area_code_list=[], population=1313, population_density=18.0, land_area_in_sqmi=71.47, water_area_in_sqmi=0.09, housing_units=573, occupied_housing_units=496, median_home_value=82700, median_household_income=43417, bounds_west=-86.798737, bounds_east=-86.625756, bounds_north=32.730479, bounds_south=32.524313)]
278	en	United States	[SimpleZipcode(zipcode='39218', zipcode_type='Standard', major_city='Richland', post_office_city='Richland, MS', common_city_list=['Richland', 'Jackson'], county='Rankin County', state='MS', lat=32.24, lng=-90.16, timezone='Central', radius_in_miles=4.0, area_code_list=['601'], population=6943, population_density=390.0, land_area_in_sqmi=17.79, water_area_in_sqmi=0.2, housing_units=2857, occupied_housing_units=2678, median_home_value=107300, median_household_income=43769, bounds_west=-90.209023, bounds_east=-90.081026, bounds_north=32.279568, bounds_south=32.132264)]
279	en	United States	[SimpleZipcode(zipcode='84025', zipcode_type='Standard', major_city='Farmington', post_office_city='Farmington, UT', common_city_list=['Farmington'], county='Davis County', state='UT', lat=40.9, lng=-111.9, timezone='Mountain', radius_in_miles=7.0, area_code_list=['385', '801'], population=18255, population_density=1495.0, land_area_in_sqmi=12.21, water_area_in_sqmi=0.17, housing_units=5343, occupied_housing_units=5151, median_home_value=276100, median_household_income=85691, bounds_west=-111.945492, bounds_east=-111.853648, bounds_north=41.016858, bounds_south=40.952073)]
280	en	United States	[SimpleZipcode(zipcode='33991', zipcode_type='Standard', major_city='Cape Coral', post_office_city='Cape Coral, FL', common_city_list=['Cape Coral', 'Matlacha Isle', 'Matlacha Isles'], county='Lee County', state='FL', lat=26.63, lng=-82.02, timezone='Eastern', radius_in_miles=3.0, area_code_list=['239'], population=18010, population_density=1273.0, land_area_in_sqmi=14.15, water_area_in_sqmi=3.93, housing_units=8210, occupied_housing_units=6567, median_home_value=146700, median_household_income=52633, bounds_west=-82.069547, bounds_east=-81.970599, bounds_north=26.667097, bounds_south=26.563442)]
281	hi	United States	[SimpleZipcode(zipcode='02061', zipcode_type='Standard', major_city='Norwell', post_office_city='Norwell, MA', common_city_list=['Norwell'], county='Plymouth County', state='MA', lat=42.15, lng=-70.82, timezone='Eastern', radius_in_miles=5.0, area_code_list=['339', '781'], population=10506, population_density=502.0, land_area_in_sqmi=20.94, water_area_in_sqmi=0.32, housing_units=3675, occupied_housing_units=3553, median_home_value=551500, median_household_income=113944, bounds_west=-70.890291, bounds_east=-70.752394, bounds_north=42.195372, bounds_south=42.106201)]
282	en	United States	[]
283	en	United States	[SimpleZipcode(zipcode='27609', zipcode_type='Standard', major_city='Raleigh', post_office_city='Raleigh, NC', common_city_list=['Raleigh'], county='Wake County', state='NC', lat=35.84, lng=-78.63, timezone='Eastern', radius_in_miles=3.0, area_code_list=['919'], population=32964, population_density=2950.0, land_area_in_sqmi=11.17, water_area_in_sqmi=0.05, housing_units=16243, occupied_housing_units=15106, median_home_value=235500, median_household_income=51090, bounds_west=-78.665911, bounds_east=-78.596064, bounds_north=35.872921, bounds_south=35.813159)]
284	en	United States	[SimpleZipcode(zipcode='11225', zipcode_type='Standard', major_city='Brooklyn', post_office_city='Brooklyn, NY', common_city_list=['Brooklyn'], county='Kings County', state='NY', lat=40.66, lng=-73.96, timezone='Eastern', radius_in_miles=1.0, area_code_list=['718'], population=56829, population_density=64295.0, land_area_in_sqmi=0.88, water_area_in_sqmi=0.0, housing_units=23588, occupied_housing_units=22501, median_home_value=615700, median_household_income=42922, bounds_west=-73.965025, bounds_east=-73.939978, bounds_north=40.671629, bounds_south=40.654871)]
285	en	United States	[]
286	en	United States	[SimpleZipcode(zipcode='39501', zipcode_type='Standard', major_city='Gulfport', post_office_city='Gulfport, MS', common_city_list=['Gulfport'], county='Harrison County', state='MS', lat=30.39, lng=-89.07, timezone='Central', radius_in_miles=5.0, area_code_list=['228'], population=21987, population_density=1607.0, land_area_in_sqmi=13.68, water_area_in_sqmi=0.52, housing_units=10493, occupied_housing_units=8334, median_home_value=90500, median_household_income=25435, bounds_west=-89.153493, bounds_east=-89.001241, bounds_north=30.418485, bounds_south=30.349044)]
287	en	United States	[]
288	en	United Kingdom	[]
289	en	United States	[]
290	en	United States	[]
291	en	United States	[]
292	en	Canada	[]
293	en	United States	[]
294	und	United States	[SimpleZipcode(zipcode='29118', zipcode_type='Standard', major_city='Orangeburg', post_office_city='Orangeburg, SC', common_city_list=['Orangeburg'], county='Orangeburg County', state='SC', lat=33.6, lng=-80.9, timezone='Eastern', radius_in_miles=8.0, area_code_list=['803'], population=15861, population_density=203.0, land_area_in_sqmi=77.95, water_area_in_sqmi=0.38, housing_units=6790, occupied_housing_units=6239, median_home_value=142200, median_household_income=46915, bounds_west=-81.008305, bounds_east=-80.775976, bounds_north=33.65734, bounds_south=33.499325)]
295	en	United States	[]
296	en	United States	[SimpleZipcode(zipcode='90034', zipcode_type='Standard', major_city='Los Angeles', post_office_city='Los Angeles, CA', common_city_list=['Los Angeles'], county='Los Angeles County', state='CA', lat=34.03, lng=-118.4, timezone='Pacific', radius_in_miles=2.0, area_code_list=['310', '424'], population=57964, population_density=18621.0, land_area_in_sqmi=3.11, water_area_in_sqmi=0.01, housing_units=27210, occupied_housing_units=25592, median_home_value=637100, median_household_income=56946, bounds_west=-118.429918, bounds_east=-118.368792, bounds_north=34.04643, bounds_south=34.012109)]
297	en	United States	[SimpleZipcode(zipcode='02184', zipcode_type='Standard', major_city='Braintree', post_office_city='Braintree, MA', common_city_list=['Braintree'], county='Norfolk County', state='MA', lat=42.2, lng=-71.01, timezone='Eastern', radius_in_miles=3.0, area_code_list=['339', '617', '781'], population=35744, population_density=2600.0, land_area_in_sqmi=13.75, water_area_in_sqmi=0.81, housing_units=14302, occupied_housing_units=13736, median_home_value=364300, median_household_income=81844, bounds_west=-71.049548, bounds_east=-70.960191, bounds_north=42.238415, bounds_south=42.168309)]
298	en	United States	[SimpleZipcode(zipcode='75062', zipcode_type='Standard', major_city='Irving', post_office_city='Irving, TX', common_city_list=['Irving'], county='Dallas County', state='TX', lat=32.85, lng=-96.96, timezone='Central', radius_in_miles=5.0, area_code_list=['214', '469', '817', '972'], population=44537, population_density=4052.0, land_area_in_sqmi=10.99, water_area_in_sqmi=0.09, housing_units=17955, occupied_housing_units=16201, median_home_value=121600, median_household_income=45872, bounds_west=-97.022078, bounds_east=-96.888782, bounds_north=32.869448, bounds_south=32.830489)]
299	en	United States	[SimpleZipcode(zipcode='10918', zipcode_type='Standard', major_city='Chester', post_office_city='Chester, NY', common_city_list=['Chester'], county='Orange County', state='NY', lat=41.35, lng=-74.26, timezone='Eastern', radius_in_miles=6.0, area_code_list=['845'], population=11647, population_density=354.0, land_area_in_sqmi=32.92, water_area_in_sqmi=0.44, housing_units=4254, occupied_housing_units=4022, median_home_value=306600, median_household_income=87114, bounds_west=-74.332821, bounds_east=-74.193919, bounds_north=41.416994, bounds_south=41.277583)]
300	en	United States	[SimpleZipcode(zipcode='70601', zipcode_type='Standard', major_city='Lake Charles', post_office_city='Lake Charles, LA', common_city_list=['Lake Charles'], county='Calcasieu Parish', state='LA', lat=30.24, lng=-93.23, timezone='Central', radius_in_miles=4.0, area_code_list=['337'], population=32384, population_density=2091.0, land_area_in_sqmi=15.49, water_area_in_sqmi=3.32, housing_units=15452, occupied_housing_units=13453, median_home_value=93300, median_household_income=29882, bounds_west=-93.277053, bounds_east=-93.178009, bounds_north=30.272068, bounds_south=30.19588)]
301	en	United States	[]
302	en	United States	[SimpleZipcode(zipcode='19082', zipcode_type='Standard', major_city='Upper Darby', post_office_city='Upper Darby, PA', common_city_list=['Upper Darby', 'Bywood', 'Highland Park', 'Kirklyn', 'Millbour...'], county='Delaware County', state='PA', lat=39.96, lng=-75.27, timezone='Eastern', radius_in_miles=2.0, area_code_list=['484', '610'], population=40997, population_density=15831.0, land_area_in_sqmi=2.59, water_area_in_sqmi=0.0, housing_units=16142, occupied_housing_units=14799, median_home_value=117200, median_household_income=38029, bounds_west=-75.297496, bounds_east=-75.247399, bounds_north=39.974996, bounds_south=39.944212)]
303	en	United States	[SimpleZipcode(zipcode='11566', zipcode_type='Standard', major_city='Merrick', post_office_city='Merrick, NY', common_city_list=['Merrick', 'N Merrick', 'North Merrick'], county='Nassau County', state='NY', lat=40.66, lng=-73.55, timezone='Eastern', radius_in_miles=3.0, area_code_list=['516'], population=35321, population_density=6478.0, land_area_in_sqmi=5.45, water_area_in_sqmi=0.95, housing_units=12070, occupied_housing_units=11805, median_home_value=480600, median_household_income=126532, bounds_west=-73.575946, bounds_east=-73.527276, bounds_north=40.699066, bounds_south=40.628698)]
304	en	United States	[SimpleZipcode(zipcode='70601', zipcode_type='Standard', major_city='Lake Charles', post_office_city='Lake Charles, LA', common_city_list=['Lake Charles'], county='Calcasieu Parish', state='LA', lat=30.24, lng=-93.23, timezone='Central', radius_in_miles=4.0, area_code_list=['337'], population=32384, population_density=2091.0, land_area_in_sqmi=15.49, water_area_in_sqmi=3.32, housing_units=15452, occupied_housing_units=13453, median_home_value=93300, median_household_income=29882, bounds_west=-93.277053, bounds_east=-93.178009, bounds_north=30.272068, bounds_south=30.19588)]
305	en	United States	[]
306	und	United Kingdom	[]
307	en	United States	[SimpleZipcode(zipcode='30076', zipcode_type='Standard', major_city='Roswell', post_office_city='Roswell, GA', common_city_list=['Roswell'], county='Fulton County', state='GA', lat=34.02, lng=-84.31, timezone='Eastern', radius_in_miles=4.0, area_code_list=['678'], population=42678, population_density=2741.0, land_area_in_sqmi=15.57, water_area_in_sqmi=0.46, housing_units=17373, occupied_housing_units=16155, median_home_value=260600, median_household_income=68108, bounds_west=-84.361097, bounds_east=-84.269275, bounds_north=34.077773, bounds_south=33.975428)]
308	en	United States	[SimpleZipcode(zipcode='70458', zipcode_type='Standard', major_city='Slidell', post_office_city='Slidell, LA', common_city_list=['Slidell'], county='St. Tammany Parish', state='LA', lat=30.27, lng=-89.8, timezone='Central', radius_in_miles=5.0, area_code_list=['504', '985'], population=35077, population_density=1661.0, land_area_in_sqmi=21.11, water_area_in_sqmi=3.56, housing_units=15130, occupied_housing_units=13556, median_home_value=166600, median_household_income=52571, bounds_west=-89.868766, bounds_east=-89.73753, bounds_north=30.330619, bounds_south=30.209823)]
309	en	United States	[SimpleZipcode(zipcode='33436', zipcode_type='Standard', major_city='Boynton Beach', post_office_city='Boynton Beach, FL', common_city_list=['Boynton Beach', 'Golf', 'Village Of Golf', 'Vlg Of Golf'], county='Palm Beach County', state='FL', lat=26.53, lng=-80.11, timezone='Eastern', radius_in_miles=3.0, area_code_list=['561'], population=41896, population_density=3577.0, land_area_in_sqmi=11.71, water_area_in_sqmi=0.09, housing_units=22427, occupied_housing_units=18728, median_home_value=162900, median_household_income=51505, bounds_west=-80.131166, bounds_east=-80.089691, bounds_north=26.572161, bounds_south=26.483642)]
310	en	United States	[]
311	en	United States	[SimpleZipcode(zipcode='19082', zipcode_type='Standard', major_city='Upper Darby', post_office_city='Upper Darby, PA', common_city_list=['Upper Darby', 'Bywood', 'Highland Park', 'Kirklyn', 'Millbour...'], county='Delaware County', state='PA', lat=39.96, lng=-75.27, timezone='Eastern', radius_in_miles=2.0, area_code_list=['484', '610'], population=40997, population_density=15831.0, land_area_in_sqmi=2.59, water_area_in_sqmi=0.0, housing_units=16142, occupied_housing_units=14799, median_home_value=117200, median_household_income=38029, bounds_west=-75.297496, bounds_east=-75.247399, bounds_north=39.974996, bounds_south=39.944212)]
312	en	United States	[SimpleZipcode(zipcode='45694', zipcode_type='Standard', major_city='Wheelersburg', post_office_city='Wheelersburg, OH', common_city_list=['Wheelersburg'], county='Scioto County', state='OH', lat=38.7, lng=-82.8, timezone='Eastern', radius_in_miles=9.0, area_code_list=['740'], population=12147, population_density=170.0, land_area_in_sqmi=71.26, water_area_in_sqmi=0.65, housing_units=5266, occupied_housing_units=4873, median_home_value=121600, median_household_income=43078, bounds_west=-82.877544, bounds_east=-82.666632, bounds_north=38.851795, bounds_south=38.677485)]
313	en	United States	[SimpleZipcode(zipcode='28697', zipcode_type='Standard', major_city='Wilkesboro', post_office_city='Wilkesboro, NC', common_city_list=['Wilkesboro'], county='Wilkes County', state='NC', lat=36.1, lng=-81.2, timezone='Eastern', radius_in_miles=11.0, area_code_list=['336'], population=12930, population_density=204.0, land_area_in_sqmi=63.51, water_area_in_sqmi=1.78, housing_units=6043, occupied_housing_units=5364, median_home_value=156500, median_household_income=39945, bounds_west=-81.336615, bounds_east=-80.996043, bounds_north=36.201889, bounds_south=36.086441)]
