state;state_abbreviation;fips;county;financial_inequality;median_age;republican_vote_proportion;democrats_vote_proportion
Montana;MT;30101;Toole County, Montana;0,434;41,9;0,7386;0,1971
North Carolina;NC;37149;Polk County, North Carolina;0,404;48,9;0,6284;0,3465
North Dakota;ND;38051;McIntosh County, North Dakota;0,456;52,3;0,7695;0,1637
Nebraska;NE;31005;Arthur County, Nebraska;0,341;39,4;0,9011;0,0608
Nebraska;NE;31075;Grant County, Nebraska;0,386;46,6;0,9315;0,0508
Nebraska;NE;31181;Webster County, Nebraska;0,418;47,4;0,7825;0,1814
New Jersey;NJ;34013;Essex County, New Jersey;0,523;36;0,207;0,7706
New Mexico;NM;35029;Luna County, New Mexico;0,488;38,1;0,4768;0,438
New Mexico;NM;35057;Torrance County, New Mexico;0,428;40,7;0,5878;0,2816
New York;NY;36025;Delaware County, New York;0,414;44,6;0,6194;0,3277
New York;NY;36045;Jefferson County, New York;0,42;32,6;0,5822;0,3587
New York;NY;36053;Madison County, New York;0,411;38,5;0,544;0,3851
Alabama;AL;1109;Pike County, Alabama;0,514;31,7;0,5897;0,3869
Alabama;AL;1011;Bullock County, Alabama;0,533;38,7;0,2423;0,7509
Alabama;AL;1125;Tuscaloosa County, Alabama;0,488;31,2;0,5838;0,3885
Alabama;AL;1085;Lowndes County, Alabama;0,506;39,7;0,2623;0,7313
Arkansas;AR;5041;Desha County, Arkansas;0,47;38,3;0,4504;0,5238
Arkansas;AR;5029;Conway County, Arkansas;0,487;39,6;0,6115;0,3352
Arkansas;AR;5125;Saline County, Arkansas;0,394;38,6;0,6819;0,2519
Alabama;AL;1087;Macon County, Alabama;0,483;35,8;0,1594;0,8273
Alabama;AL;1121;Talladega County, Alabama;0,44;38,6;0,62;0,3645
Alabama;AL;1071;Jackson County, Alabama;0,438;41,4;0,8007;0,1762
Alabama;AL;1073;Jefferson County, Alabama;0,492;37;0,4502;0,5225
Arkansas;AR;5019;Clark County, Arkansas;0,467;33,1;0,5171;0,424
Arkansas;AR;5119;Pulaski County, Arkansas;0,482;35,7;0,3836;0,5604
California;CA;6031;Kings County, California;0,413;30,8;0,541;0,4001
California;CA;6067;Sacramento County, California;0,431;34,6;0,3487;0,5856
California;CA;6083;Santa Barbara County, California;0,475;33,6;0,3272;0,6097
Colorado;CO;8107;Routt County, Colorado;0,391;38,9;0,3739;0,5436
Colorado;CO;8077;Mesa County, Colorado;0,441;38,1;0,6428;0,2799
Colorado;CO;8117;Summit County, Colorado;0,394;36,2;0,3153;0,5916
Connecticut;CT;9007;Middlesex County, Connecticut;0,419;42,3;0,4394;0,5125
Florida;FL;12019;Clay County, Florida;0,387;37,5;0,7042;0,2611
Florida;FL;12037;Franklin County, Florida;0,478;43,6;0,6862;0,2895
Florida;FL;12069;Lake County, Florida;0,431;45,2;0,5997;0,3684
Florida;FL;12093;Okeechobee County, Florida;0,471;39;0,6853;0,29
Florida;FL;12111;St. Lucie County, Florida;0,43;41,9;0,4992;0,4747
Georgia;GA;13023;Bleckley County, Georgia;0,491;39,2;0,7533;0,2217
Georgia;GA;13027;Brooks County, Georgia;0,437;38,8;0,5869;0,3995
Georgia;GA;13127;Glynn County, Georgia;0,472;39,1;0,6311;0,3448
Georgia;GA;13137;Habersham County, Georgia;0,44;36,2;0,8175;0,154
Georgia;GA;13151;Henry County, Georgia;0,369;34,8;0,4655;0,509
Georgia;GA;13193;Macon County, Georgia;0,46;37;0,3592;0,631
Georgia;GA;13209;Montgomery County, Georgia;0,454;35,6;0,7494;0,2379
Georgia;GA;13243;Randolph County, Georgia;0,558;36,8;0,4387;0,5516
Georgia;GA;13317;Wilkes County, Georgia;0,487;43;0,5747;0,4125
Iowa;IA;19067;Floyd County, Iowa;0,426;43,3;0,5474;0,3979
Iowa;IA;19151;Pocahontas County, Iowa;0,386;47;0,7027;0,2511
Iowa;IA;19163;Scott County, Iowa;0,449;37,4;0,4605;0,4748
Idaho;ID;16023;Butte County, Idaho;0,416;46,4;0,7431;0,1301
Idaho;ID;16039;Elmore County, Idaho;0,375;29,5;0,6827;0,2129
Illinois;IL;17115;Macon County, Illinois;0,452;40,5;0,5664;0,3851
Illinois;IL;17183;Vermilion County, Illinois;0,427;39,1;0,6236;0,3314
Illinois;IL;17191;Wayne County, Illinois;0,437;42,6;0,8434;0,1269
Illinois;IL;17201;Winnebago County, Illinois;0,441;37,9;0,4771;0,4653
Indiana;IN;18017;Cass County, Indiana;0,414;38,4;0,686;0,2659
Indiana;IN;18041;Fayette County, Indiana;0,423;40,2;0,7176;0,2363
Indiana;IN;18057;Hamilton County, Indiana;0,423;35,3;0,5682;0,3724
Indiana;IN;18061;Harrison County, Indiana;0,394;39,3;0,7013;0,2578
Indiana;IN;18097;Marion County, Indiana;0,46;34;0,3607;0,589
Indiana;IN;18129;Posey County, Indiana;0,398;40,7;0,6742;0,2824
Kansas;KS;20009;Barton County, Kansas;0,434;40;0,7698;0,1807
Kansas;KS;20043;Doniphan County, Kansas;0,416;38,7;0,7727;0,1735
Kansas;KS;20071;Greeley County, Kansas;0,476;45;0,8185;0,1299
Kansas;KS;20177;Shawnee County, Kansas;0,435;38,2;0,48;0,4517
Kansas;KS;20199;Wallace County, Kansas;0,4;48,2;0,9127;0,0578
Kentucky;KY;21011;Bath County, Kentucky;0,461;38,4;0,6725;0,297
Kentucky;KY;21071;Floyd County, Kentucky;0,469;39,5;0,7251;0,2427
South Carolina;SC;45053;Jasper County, South Carolina;0,462;34,9;0,4291;0,5479
South Dakota;SD;46023;Charles Mix County, South Dakota;0,446;39;0,6939;0,2724
South Dakota;SD;46067;Hutchinson County, South Dakota;0,459;46,5;0,748;0,2056
South Dakota;SD;46091;Marshall County, South Dakota;0,451;43,1;0,5424;0,3873
Tennessee;TN;47061;Grundy County, Tennessee;0,439;41;0,7634;0,2101
Tennessee;TN;47075;Haywood County, Tennessee;0,454;38;0,4411;0,5428
Tennessee;TN;47187;Williamson County, Tennessee;0,442;37,9;0,651;0,296
Texas;TX;48167;Galveston County, Texas;0,449;37,1;0,5933;0,367
Texas;TX;48355;Nueces County, Texas;0,472;34,7;0,4877;0,4723
Texas;TX;48385;Real County, Texas;0,402;49,1;0,8236;0,1561
Texas;TX;48449;Titus County, Texas;0,418;32,5;0,698;0,2766
Utah;UT;49013;Duchesne County, Utah;0,402;30;0,7941;0,0721
Virginia;VA;51017;Bath County, Virginia;0,326;47;0,6901;0,2688
Virginia;VA;51081;Greensville County, Virginia;0,406;40;0,3981;0,5863
Virginia;VA;51550;Chesapeake city, Virginia;0,393;36,5;0,4828;0,47
Virginia;VA;51650;Hampton city, Virginia;0,393;35,4;0,2895;0,6673
Wisconsin;WI;55017;Chippewa County, Wisconsin;0,406;39,8;0,5692;0,3773
Kentucky;KY;21139;Livingston County, Kentucky;0,414;44,3;0,7689;0,191
Kentucky;KY;21191;Pendleton County, Kentucky;0,402;38,3;0,7664;0,1938
Kentucky;KY;21233;Webster County, Kentucky;0,417;40,3;0,7575;0,2136
Louisiana;LA;22001;Acadia Parish, Louisiana;0,452;35,4;0,7726;0,2059
Louisiana;LA;22027;Claiborne Parish, Louisiana;0,474;40,4;0,5583;0,4231
Louisiana;LA;22045;Iberia Parish, Louisiana;0,459;35,3;0,6441;0,3296
Louisiana;LA;22111;Union Parish, Louisiana;0,476;40,5;0,7318;0,247
Massachusetts;MA;25013;Hampden County, Massachusetts;0,459;38,3;0,3907;0,551
Michigan;MI;26035;Clare County, Michigan;0,424;44,7;0,6356;0,3175
Michigan;MI;26055;Grand Traverse County, Michigan;0,435;40,5;0,5327;0,4074
Minnesota;MN;27057;Hubbard County, Minnesota;0,429;46,3;0,6363;0,3004
Missouri;MO;29017;Bollinger County, Missouri;0,442;41,9;0,8515;0,1244
Missouri;MO;29041;Chariton County, Missouri;0,393;45,1;0,7441;0,2241
Missouri;MO;29087;Holt County, Missouri;0,392;45,4;0,8203;0,1474
Missouri;MO;29119;McDonald County, Missouri;0,422;36,4;0,8015;0,1614
Missouri;MO;29205;Shelby County, Missouri;0,372;42,6;0,7761;0,1863
Mississippi;MS;28041;Greene County, Mississippi;0,398;35,8;0,8092;0,1795
Mississippi;MS;28055;Issaquena County, Mississippi;0,476;36,2;0,4263;0,5651
Mississippi;MS;28069;Kemper County, Mississippi;0,463;37,7;0,3833;0,6094
Mississippi;MS;28073;Lamar County, Mississippi;0,487;33,4;0,7648;0,2086
Mississippi;MS;28083;Leflore County, Mississippi;0,527;32,4;0,2882;0,698
Mississippi;MS;28101;Newton County, Mississippi;0,407;37,6;0,6899;0,2966
North Carolina;NC;37049;Craven County, North Carolina;0,445;36,8;0,5961;0,3781
North Carolina;NC;37105;Lee County, North Carolina;0,419;37,6;0,5522;0,4207
North Carolina;NC;37111;McDowell County, North Carolina;0,422;41;0,7423;0,2375
North Carolina;NC;37185;Warren County, North Carolina;0,506;45,3;0,3262;0,6587
North Dakota;ND;38013;Burke County, North Dakota;0,461;50,4;0,8526;0,1145
North Dakota;ND;38021;Dickey County, North Dakota;0,463;42,3;0,6981;0,2323
North Dakota;ND;38049;McHenry County, North Dakota;0,421;45,5;0,741;0,1764
Nebraska;NE;31007;Banner County, Nebraska;0,496;46,4;0,9103;0,0462
Nebraska;NE;31013;Box Butte County, Nebraska;0,407;40,9;0,7456;0,2002
Nebraska;NE;31093;Howard County, Nebraska;0,391;42,6;0,7721;0,1839
New Jersey;NJ;34005;Burlington County, New Jersey;0,405;39,6;0,4079;0,5557
New Mexico;NM;35009;Curry County, New Mexico;0,444;31,7;0,6641;0,2439
Ohio;OH;39155;Trumbull County, Ohio;0,418;42;0,5119;0,4478
Oklahoma;OK;40037;Creek County, Oklahoma;0,434;39,6;0,7482;0,2027
Oklahoma;OK;40057;Harmon County, Oklahoma;0,466;42,6;0,7323;0,2297
Oregon;OR;41001;Baker County, Oregon;0,45;47,3;0,7265;0,21
Oregon;OR;41039;Lane County, Oregon;0,454;38,5;0,3657;0,555
Oregon;OR;41047;Marion County, Oregon;0,422;35;0,4904;0,4404
South Carolina;SC;45063;Lexington County, South Carolina;0,416;37,5;0,6556;0,2885
South Carolina;SC;45079;Richland County, South Carolina;0,462;32,7;0,3114;0,6399
South Dakota;SD;46005;Beadle County, South Dakota;0,424;41,5;0,6579;0,2823
South Dakota;SD;46031;Corson County, South Dakota;0,509;29,6;0,5004;0,4553
South Dakota;SD;46085;Lyman County, South Dakota;0,37;34,9;0,6875;0,2597
South Dakota;SD;46111;Sanborn County, South Dakota;0,387;44,2;0,7293;0,2146
South Dakota;SD;46135;Yankton County, South Dakota;0,458;41;0,588;0,3433
Tennessee;TN;47085;Humphreys County, Tennessee;0,401;40,7;0,6903;0,2755
Tennessee;TN;47189;Wilson County, Tennessee;0,406;38,8;0,6983;0,2551
Texas;TX;48023;Baylor County, Texas;0,515;45,9;0,8492;0,128
Texas;TX;48031;Blanco County, Texas;0,44;45,2;0,743;0,2194
Texas;TX;48085;Collin County, Texas;0,424;34,6;0,562;0,3922
Texas;TX;48149;Fayette County, Texas;0,446;45,6;0,7841;0,1929
Texas;TX;48177;Gonzales County, Texas;0,449;36,4;0,7265;0,2486
Texas;TX;48195;Hansford County, Texas;0,389;36,4;0,8885;0,0878
Texas;TX;48235;Irion County, Texas;0,489;44,5;0,8684;0,1184
Texas;TX;48247;Jim Hogg County, Texas;0,427;33,1;0,2029;0,7716
Texas;TX;48347;Nacogdoches County, Texas;0,485;29,9;0,6576;0,3041
Texas;TX;48437;Swisher County, Texas;0,432;35,8;0,763;0,211
Texas;TX;48483;Wheeler County, Texas;0,513;40,3;0,905;0,0841
Utah;UT;49019;Grand County, Utah;0,373;40,5;0,434;0,4336
Virginia;VA;51159;Richmond County, Virginia;0,445;42,7;0,6061;0,3689
Virginia;VA;51610;Falls Church city, Virginia;0,416;40,4;0,1726;0,7578
Virginia;VA;51680;Lynchburg city, Virginia;0,502;31,6;0,5086;0,4183
Virginia;VA;51740;Portsmouth city, Virginia;0,404;35,3;0,297;0,6619
Virginia;VA;51800;Suffolk city, Virginia;0,415;37,5;0,4104;0,5488
Virginia;VA;51830;Williamsburg city, Virginia;0,466;23,1;0,255;0,6901
Washington;WA;53049;Pacific County, Washington;0,44;49,8;0,5004;0,431
Washington;WA;53073;Whatcom County, Washington;0,438;36,2;0,3719;0,5489
Wisconsin;WI;55013;Burnett County, Wisconsin;0,435;48,4;0,6207;0,3381
Wisconsin;WI;55029;Door County, Wisconsin;0,411;48,7;0,4934;0,4613
Alabama;AL;1043;Cullman County, Alabama;0,445;39,5;0,8781;0,1001
Arkansas;AR;5089;Marion County, Arkansas;0,431;48,7;0,749;0,2032
Arkansas;AR;5063;Independence County, Arkansas;0,459;38,7;0,7299;0,2116
Arizona;AZ;4005;Coconino County, Arizona;0,443;30,8;0,3689;0,5633
Arizona;AZ;4025;Yavapai County, Arizona;0,453;48,1;0,6344;0,3202
California;CA;6111;Ventura County, California;0,435;36;0,3857;0,5537
California;CA;6023;Humboldt County, California;0,473;37,1;0,3236;0,5826
Colorado;CO;8017;Cheyenne County, Colorado;0,397;41,6;0,8411;0,118
Colorado;CO;8037;Eagle County, Colorado;0,464;33,4;0,3606;0,5596
Colorado;CO;8115;Sedgwick County, Colorado;0,43;50,4;0,7441;0,1957
Florida;FL;12051;Hendry County, Florida;0,422;31,7;0,5575;0,4151
Georgia;GA;13051;Chatham County, Georgia;0,476;34,3;0,4117;0,5565
Georgia;GA;13065;Clinch County, Georgia;0,43;35,9;0,7057;0,2804
Georgia;GA;13301;Warren County, Georgia;0,468;43,3;0,425;0,563
Iowa;IA;19031;Cedar County, Iowa;0,352;42,1;0,562;0,3812
Iowa;IA;19043;Clayton County, Iowa;0,376;44;0,5835;0,3557
Iowa;IA;19077;Guthrie County, Iowa;0,427;44,2;0,6372;0,3042
Iowa;IA;19093;Ida County, Iowa;0,391;44,2;0,7396;0,2206
Iowa;IA;19101;Jefferson County, Iowa;0,459;44,9;0,4672;0,4627
Iowa;IA;19165;Shelby County, Iowa;0,399;44,7;0,6922;0,263
Iowa;IA;19177;Van Buren County, Iowa;0,409;43,8;0,7158;0,2391
Illinois;IL;17033;Crawford County, Illinois;0,406;42,2;0,7225;0,2315
Illinois;IL;17105;Livingston County, Illinois;0,41;40,2;0,6755;0,2653
Illinois;IL;17107;Logan County, Illinois;0,405;39,2;0,6733;0,2721
Illinois;IL;17169;Schuyler County, Illinois;0,367;42,6;0,6653;0,2832
Illinois;IL;17199;Williamson County, Illinois;0,443;40,2;0,6843;0,2718
Indiana;IN;18013;Brown County, Indiana;0,418;45,5;0,6342;0,3184
Kansas;KS;20001;Allen County, Kansas;0,394;40,2;0,6728;0,2631
Kansas;KS;20011;Bourbon County, Kansas;0,417;37,8;0,729;0,2207
Kansas;KS;20033;Comanche County, Kansas;0,434;50,6;0,8226;0,119
Kansas;KS;20157;Republic County, Kansas;0,451;50,6;0,8023;0,149
Wisconsin;WI;55081;Monroe County, Wisconsin;0,404;38,3;0,5851;0,3604
Wisconsin;WI;55109;St. Croix County, Wisconsin;0,392;36,2;0,558;0,3737
West Virginia;WV;54051;Marshall County, West Virginia;0,473;43,6;0,7311;0,2212
Wyoming;WY;56025;Natrona County, Wyoming;0,447;37;0,7239;0,2023
Alaska;AK;2240;Southeast Fairbanks Census Area, Alaska;0,367;35,9;0;0
Alaska;AK;2090;Fairbanks North Star Borough, Alaska;0,404;30,8;0;0
Alaska;AK;2220;Sitka City and Borough, Alaska;0,386;40;0;0
Kentucky;KY;21135;Lewis County, Kentucky;0,469;39,9;0,8235;0,1482
Kentucky;KY;21199;Pulaski County, Kentucky;0,497;40,7;0,8169;0,1501
Kentucky;KY;21201;Robertson County, Kentucky;0,452;37,4;0,7493;0,2192
Kentucky;KY;21231;Wayne County, Kentucky;0,486;40,1;0,7971;0,1791
Louisiana;LA;22009;Avoyelles Parish, Louisiana;0,458;38,3;0,6732;0,3035
Michigan;MI;26043;Dickinson County, Michigan;0,431;44,6;0,653;0,2986
Michigan;MI;26049;Genesee County, Michigan;0,439;37,6;0,4292;0,5238
Michigan;MI;26119;Montmorency County, Michigan;0,403;51,7;0,6985;0,2568
Michigan;MI;26123;Newaygo County, Michigan;0,438;39,6;0,6713;0,2748
Minnesota;MN;27059;Isanti County, Minnesota;0,369;36,7;0,6532;0,2709
Minnesota;MN;27101;Murray County, Minnesota;0,402;46,9;0,6407;0,279
Minnesota;MN;27103;Nicollet County, Minnesota;0,387;33;0,4709;0,4402
Minnesota;MN;27157;Wabasha County, Minnesota;0,416;42,4;0,5941;0,3286
Minnesota;MN;27159;Wadena County, Minnesota;0,423;43,5;0,7016;0,2443
Minnesota;MN;27169;Winona County, Minnesota;0,439;32,5;0,4689;0,4397
Missouri;MO;29055;Crawford County, Missouri;0,395;39,7;0,7786;0,1839
Missouri;MO;29153;Ozark County, Missouri;0,401;47,9;0,8085;0,1609
Missouri;MO;29167;Polk County, Missouri;0,431;37,7;0,7612;0,1918
Mississippi;MS;28075;Lauderdale County, Mississippi;0,492;36,6;0,6067;0,3766
Montana;MT;30003;Big Horn County, Montana;0,432;31;0,4398;0,4945
Montana;MT;30015;Chouteau County, Montana;0,425;41,5;0,6494;0,2824
Montana;MT;30045;Judith Basin County, Montana;0,439;52,6;0,7273;0,1946
Montana;MT;30051;Liberty County, Montana;0,44;45,9;0,73;0,2153
Montana;MT;30083;Richland County, Montana;0,432;42,3;0,8064;0,1389
Montana;MT;30097;Sweet Grass County, Montana;0,415;45,4;0,7596;0,1913
Kentucky;KY;21235;Whitley County, Kentucky;0,481;37,3;0,8216;0,1501
Kentucky;KY;21239;Woodford County, Kentucky;0,418;40,8;0,5676;0,3656
Louisiana;LA;22019;Calcasieu Parish, Louisiana;0,468;35,9;0,6468;0,3139
Louisiana;LA;22069;Natchitoches Parish, Louisiana;0,514;32,5;0,5395;0,4299
Louisiana;LA;22089;St. Charles Parish, Louisiana;0,412;36,6;0,6346;0,3268
Massachusetts;MA;25007;Dukes County, Massachusetts;0,461;44,3;0,2164;0,7292
Maryland;MD;24039;Somerset County, Maryland;0,432;36,3;0,5766;0,3974
Michigan;MI;26005;Allegan County, Michigan;0,402;38,1;0,6131;0,3251
Michigan;MI;26081;Kent County, Michigan;0,441;34;0,4831;0,4524
Michigan;MI;26115;Monroe County, Michigan;0,396;39,2;0,5837;0,3625
Michigan;MI;26135;Oscoda County, Michigan;0,417;48,9;0,6999;0,257
Minnesota;MN;27037;Dakota County, Minnesota;0,395;36,1;0,4357;0,4822
Minnesota;MN;27045;Fillmore County, Minnesota;0,412;42,6;0,5713;0,3528
Minnesota;MN;27099;Mower County, Minnesota;0,42;39,4;0,5018;0,4233
Minnesota;MN;27133;Rock County, Minnesota;0,4;40,5;0,643;0,2856
Missouri;MO;29015;Benton County, Missouri;0,44;50,6;0,7525;0,2112
Missouri;MO;29033;Carroll County, Missouri;0,504;42;0,798;0,1708
Missouri;MO;29131;Miller County, Missouri;0,402;40,2;0,8135;0,1533
Missouri;MO;29135;Moniteau County, Missouri;0,388;36,8;0,785;0,1817
Missouri;MO;29145;Newton County, Missouri;0,439;38,4;0,7751;0,1882
Mississippi;MS;28001;Adams County, Mississippi;0,525;39,4;0,4196;0,5666
Mississippi;MS;28007;Attala County, Mississippi;0,495;39,1;0,5921;0,3931
Mississippi;MS;28019;Choctaw County, Mississippi;0,434;41,6;0,6873;0,298
Georgia;GA;13293;Upson County, Georgia;0,411;39,1;0,6672;0,3177
Iowa;IA;19015;Boone County, Iowa;0,407;40,2;0,5333;0,3945
Iowa;IA;19037;Chickasaw County, Iowa;0,401;43,8;0,5872;0,3556
Iowa;IA;19137;Montgomery County, Iowa;0,414;43,9;0,6865;0,2625
Iowa;IA;19197;Wright County, Iowa;0,407;44;0,6371;0,3177
Idaho;ID;16001;Ada County, Idaho;0,435;34,4;0,4793;0,3869
Idaho;ID;16079;Shoshone County, Idaho;0,386;45,6;0,6439;0,2703
Illinois;IL;17087;Johnson County, Illinois;0,398;40,3;0,7718;0,1886
Indiana;IN;18045;Fountain County, Indiana;0,389;41,5;0,7574;0,1975
Indiana;IN;18111;Newton County, Indiana;0,403;42;0,7035;0,2423
Indiana;IN;18121;Parke County, Indiana;0,401;41;0,7395;0,2191
Kansas;KS;20003;Anderson County, Kansas;0,402;41,7;0,7281;0,2029
Kansas;KS;20085;Jackson County, Kansas;0,376;40,8;0,6789;0,26
Kansas;KS;20097;Kiowa County, Kansas;0,41;41;0,8358;0,1085
Kansas;KS;20171;Scott County, Kansas;0,424;42,2;0,8485;0,1075
Kansas;KS;20207;Woodson County, Kansas;0,53;48,5;0,7486;0,1901
Ohio;OH;39045;Fairfield County, Ohio;0,408;37,4;0,6119;0,3423
Ohio;OH;39101;Marion County, Ohio;0,42;39,3;0,6458;0,3021
Ohio;OH;39109;Miami County, Ohio;0,399;40,1;0,7055;0,2493
Oklahoma;OK;40077;Latimer County, Oklahoma;0,427;39,1;0,764;0,1968
Oklahoma;OK;40113;Osage County, Oklahoma;0,44;40,4;0,663;0,2953
Pennsylvania;PA;42049;Erie County, Pennsylvania;0,44;38,4;0,4876;0,4676
Pennsylvania;PA;42085;Mercer County, Pennsylvania;0,422;42,2;0,6056;0,3555
Pennsylvania;PA;42089;Monroe County, Pennsylvania;0,4;39,3;0,4808;0,4842
South Carolina;SC;45003;Aiken County, South Carolina;0,463;39,6;0,6149;0,34
South Dakota;SD;46063;Harding County, South Dakota;0,442;46;0,9025;0,0494
Tennessee;TN;47063;Hamblen County, Tennessee;0,452;38,7;0,7697;0,198
Tennessee;TN;47135;Perry County, Tennessee;0,423;42,9;0,759;0,2091
West Virginia;WV;54047;McDowell County, West Virginia;0,452;43,7;0,7467;0,2313
Wyoming;WY;56029;Park County, Wyoming;0,435;43,9;0,7595;0,1732
Alaska;AK;2290;Yukon-Koyukuk Census Area, Alaska;0,449;35,1;0;0
Alabama;AL;1103;Morgan County, Alabama;0,439;38,5;0,748;0,2244
Arkansas;AR;5035;Crittenden County, Arkansas;0,466;33,3;0,4375;0,5265
Arkansas;AR;5131;Sebastian County, Arkansas;0,468;36,5;0,6521;0,2762
Arkansas;AR;5133;Sevier County, Arkansas;0,409;34,2;0,7179;0,2352
Arkansas;AR;5103;Ouachita County, Arkansas;0,451;42;0,5385;0,4351
Arizona;AZ;4003;Cochise County, Arizona;0,435;39,7;0,5802;0,3544
Arizona;AZ;4019;Pima County, Arizona;0,458;37,3;0,4075;0,5423
California;CA;6007;Butte County, California;0,449;37,2;0,4803;0,4403
California;CA;6035;Lassen County, California;0,422;37,2;0,7267;0,2134
California;CA;6001;Alameda County, California;0,456;36,2;0,1487;0,7931
California;CA;6033;Lake County, California;0,442;44,1;0,4409;0,4783
Colorado;CO;8125;Yuma County, Colorado;0,414;36,7;0,8051;0,1503
Colorado;CO;8069;Larimer County, Colorado;0,45;35;0,4261;0,4754
Florida;FL;12021;Collier County, Florida;0,522;45,8;0,6176;0,3574
Florida;FL;12041;Gilchrist County, Florida;0,435;39,5;0,8007;0,1731
Florida;FL;12061;Indian River County, Florida;0,511;48,1;0,6078;0,3629
Florida;FL;12107;Putnam County, Florida;0,45;42,4;0,6699;0,3038
Georgia;GA;13009;Baldwin County, Georgia;0,457;34,4;0,4784;0,4955
Georgia;GA;13119;Franklin County, Georgia;0,458;39,4;0,8324;0,1467
Georgia;GA;13163;Jefferson County, Georgia;0,446;38,1;0,4409;0,5493
Georgia;GA;13171;Lamar County, Georgia;0,425;37,7;0,6842;0,2993
Georgia;GA;13199;Meriwether County, Georgia;0,413;38,9;0,5681;0,4139
Georgia;GA;13207;Monroe County, Georgia;0,438;40;0,6959;0,2817
Texas;TX;48039;Brazoria County, Texas;0,416;34,9;0,604;0,3581
Texas;TX;48081;Coke County, Texas;0,381;46,1;0,889;0,0984
Texas;TX;48199;Hardin County, Texas;0,419;38;0,8609;0,1221
Texas;TX;48285;Lavaca County, Texas;0,444;44,5;0,8501;0,1355
Texas;TX;48315;Marion County, Texas;0,487;47,9;0,7057;0,2748
Texas;TX;48391;Refugio County, Texas;0,421;43,2;0,6214;0,3511
Texas;TX;48467;Van Zandt County, Texas;0,428;41,8;0,85;0,1287
Utah;UT;49033;Rich County, Utah;0,419;40;0,7172;0,0949
Utah;UT;49041;Sevier County, Utah;0,387;31,9;0,777;0,081
Utah;UT;49055;Wayne County, Utah;0,366;38,1;0,6801;0,1922
Virginia;VA;51043;Clarke County, Virginia;0,42;43,8;0,5727;0,3747
Virginia;VA;51057;Essex County, Virginia;0,398;44;0,4963;0,4746
Virginia;VA;51107;Loudoun County, Virginia;0,367;34,3;0,3863;0,5542
Virginia;VA;51161;Roanoke County, Virginia;0,398;42,5;0,6153;0,3347
Virginia;VA;51678;Lexington city, Virginia;0,514;22,4;0,3129;0,6185
Virginia;VA;51710;Norfolk city, Virginia;0,466;29,5;0,2644;0,6842
Washington;WA;53001;Adams County, Washington;0,411;29,6;0,6714;0,274
Washington;WA;53003;Asotin County, Washington;0,436;43;0,5898;0,322
Washington;WA;53005;Benton County, Washington;0,415;35,8;0,5928;0,3273
Washington;WA;53047;Okanogan County, Washington;0,452;42,2;0,5788;0,3654
Wisconsin;WI;55061;Kewaunee County, Wisconsin;0,381;41,2;0,6159;0,3373
Mississippi;MS;28063;Jefferson County, Mississippi;0,499;41;0,1267;0,8647
Mississippi;MS;28071;Lafayette County, Mississippi;0,516;26,8;0,5535;0,4057
Kentucky;KY;21095;Harlan County, Kentucky;0,476;40,6;0,8487;0,1275
Kentucky;KY;21125;Laurel County, Kentucky;0,471;37,4;0,8295;0,1386
Kentucky;KY;21143;Lyon County, Kentucky;0,411;46;0,7041;0,2638
Kentucky;KY;21187;Owen County, Kentucky;0,39;39,2;0,7491;0,2124
Kentucky;KY;21193;Perry County, Kentucky;0,539;39,7;0,7717;0,202
Louisiana;LA;22063;Livingston Parish, Louisiana;0,4;34,2;0,8457;0,1205
Michigan;MI;26101;Manistee County, Michigan;0,421;45,9;0,5489;0,3952
Minnesota;MN;27051;Grant County, Minnesota;0,415;45,8;0,5975;0,3197
Minnesota;MN;27067;Kandiyohi County, Minnesota;0,441;39,2;0,5906;0,3356
Minnesota;MN;27083;Lyon County, Minnesota;0,415;34,7;0,5982;0,3154
Minnesota;MN;27153;Todd County, Minnesota;0,409;41,4;0,7104;0,233
Missouri;MO;29013;Bates County, Missouri;0,406;40,7;0,748;0,2016
Missouri;MO;29037;Cass County, Missouri;0,368;37,4;0,6508;0,2921
Missouri;MO;29143;New Madrid County, Missouri;0,471;39,8;0,7168;0,2629
Mississippi;MS;28043;Grenada County, Mississippi;0,492;38,5;0,5689;0,42
Mississippi;MS;28119;Quitman County, Mississippi;0,45;37,6;0,2976;0,6868
Mississippi;MS;28137;Tate County, Mississippi;0,414;36;0,6484;0,334
Montana;MT;30065;Musselshell County, Montana;0,432;49,5;0,814;0,1374
Montana;MT;30087;Rosebud County, Montana;0,407;37,3;0,6557;0,2874
North Carolina;NC;37015;Bertie County, North Carolina;0,48;43,3;0,3706;0,6223
North Carolina;NC;37085;Harnett County, North Carolina;0,413;33,7;0,6068;0,366
North Carolina;NC;37155;Robeson County, North Carolina;0,483;34,1;0,5144;0,4658
North Carolina;NC;37165;Scotland County, North Carolina;0,491;37;0,452;0,5297
North Carolina;NC;37175;Transylvania County, North Carolina;0,448;48,4;0,5987;0,3739
North Carolina;NC;37181;Vance County, North Carolina;0,463;37,5;0,3696;0,6157
North Dakota;ND;38011;Bowman County, North Dakota;0,444;47,1;0,8168;0,1283
North Dakota;ND;38029;Emmons County, North Dakota;0,458;49,8;0,8535;0,1097
North Dakota;ND;38033;Golden Valley County, North Dakota;0,497;45,2;0,8418;0,1051
North Dakota;ND;38041;Hettinger County, North Dakota;0,448;49;0,8184;0,1332
