	sentiment	handles
111	0.0	['@livenewscloud', '@elizabethforma', '@realDonaldTrump']
112	-0.25	['@BlissTabitha', '@SilasKLee']
113	0.0772	['@HillaryClinton']
114	0.0	
115	0.8155	['@MikeNellis', '@Marmel', '@realDonaldTrump']
116	0.0	['@DebAlwaystrump', '@USAforTrump2016', '@realDonaldTrump']
117	0.0	['@rgreersmith']
118	0.0	['@FL_Politico', '@realDonaldTrump', '@CNNPolitics']
119	0.8442	['@realDonaldTrump']
120	-0.3612	['@EnemyWithinn', '@HunterHRC2016', '@HillaryClinton']
121	0.3182	['@HuffPostPol']
122	0.0	['@HillaryClinton']
123	0.4019	['@HillaryClinton', '@realDonaldTrump']
124	-0.6486	['@VickyBrush', '@donlemon', '@realDonaldTrump']
125	0.7906	
126	-0.4019	['@realDonaldTrump']
127	0.8176	
128	0.4019	['@ChristiChat']
129	0.3612	
130	0.0	
131	-0.5719	
132	0.6486	['@realDonaldTrump']
133	0.6124	['@JohnMillerNot', '@realDonaldTrump']
134	-0.6597	['@realDonaldTrump']
135	0.6124	['@imtracywilson1', '@collectdollsale', '@CALA_1111', '@realDonaldTrump', '@realDonaldTrump']
136	0.743	['@PoweredByTruth', '@realDonaldTrump']
137	0.2732	['@realDonaldTrump']
138	0.3182	['@realDonaldTrump']
139	0.0	['@realDonaldTrump']
140	-0.3182	['@realDonaldTrump']
141	-0.7506	['@realDonaldTrump']
142	0.0	
143	0.0	['@Eric_Kennedy_']
144	-0.4877	['@realDonaldTrump', '@JoeNBC', '@LouDobbs']
145	-0.6908	['@realDonaldTrump']
146	0.1531	['@realDonaldTrump', '@HillaryClinton']
147	0.0	['@progressivepush', '@realDonaldTrump']
148	0.0	['@realDonaldTrump']
149	0.0	['@realDonaldTrump']
150	-0.1027	['@realDonaldTrump']
151	0.6486	['@BlueTeam007', '@HillaryClinton']
152	0.0	['@realDonaldTrump']
153	0.0	['@realDonaldTrump']
154	0.0	['@realDonaldTrump']
155	0.0	['@realDonaldTrump']
156	0.0	['@realDonaldTrump']
157	-0.5267	['@realDonaldTrump', '@SheriffClarke', '@ForeignPolicy']
158	0.0	['@TedCowart', '@HillaryClinton']
159	0.1531	['@realDonaldTrump']
160	0.0	
161	-0.5423	['@therussophile', '@RT_Erdogan', '@PutinRF_Eng', '@realDonaldTrump', '@AllenWest', '@RT_com']
162	0.0	['@realDonaldTrump']
163	-0.6908	['@BarackObama', '@netanyahu', '@realDonaldTrump']
164	-0.4767	['@realDonaldTrump', '@Morning_Joe']
165	0.0	
166	-0.5994	['@HillaryClinton', '@billclinton']
167	0.0	['@realDonaldTrump', '@HillaryClinton']
168	0.0	['@Time', '@BoingBoing']
169	0.0	['@realDonaldTrump']
170	-0.128	['@ThomasB00001', '@HillaryClinton']
171	-0.2732	['@HillaryClinton', '@realDonaldTrump']
172	0.0	
173	0.0	['@realDonaldTrump']
174	-0.6908	['@realDonaldTrump', '@Morning_Joe', '@JoeNBC', '@morningmika']
175	0.34	['@BarackObama', '@realDonaldTrump', '@theGeorgeWB']
176	0.6369	['@realDonaldTrump']
177	0.6124	['@imtracywilson1', '@DanScavino', '@irshroz', '@realDonaldTrump', '@realDonaldTrump']
178	0.743	['@secularstupiddd', '@realDonaldTrump']
179	0.2732	['@ercohn', '@DarthBawar', '@realDonaldTrump', '@michaeldweiss', '@donlemon']
180	0.0	['@Corporatocrazy', '@EconDemocracy1', '@NewYorker', '@realDonaldTrump']
181	0.0	['@rharrisonfries', '@mike4193496', '@realDonaldTrump']
182	0.0772	['@realDonaldTrump']
183	0.7845	['@Sherribaron1', '@LindaSuhler', '@ErickaJacobs123', '@BreitbartNews', '@realDonaldTrump']
184	0.0258	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes']
185	0.0	['@HillaryClinton']
186	-0.5267	['@realDonaldTrump']
187	-0.5859	['@DanScavino', '@realDonaldTrump']
188	0.0	['@realDonaldTrump']
189	0.0	['@realDonaldTrump']
190	-0.0516	['@ArthurA_P']
191	0.0	['@realDonaldTrump']
192	-0.2263	['@realDonaldTrump']
193	0.0516	['@TheDailyShow', '@Trevornoah']
194	-0.5106	['@realDonaldTrump', '@hughhewitt']
195	0.0	['@HillaryClinton', '@seanshhh', '@seanhannity', '@JudgeJeanine', '@ericbolling', '@realDonaldTrump']
196	0.0	['@realDonaldTrump']
197	-0.8126	['@realDonaldTrump', '@elsolarverde']
198	0.5994	['@MichaelCohen212', '@NewDay', '@ChrisCuomo', '@realDonaldTrump']
199	0.0	['@dawnellemurray', '@LouDobbs', '@realDonaldTrump', '@FoxBusiness']
200	-0.5267	['@realDonaldTrump']
201	0.0	['@HillaryClinton', '@ScottBaio', '@billclinton', '@smp0711', '@realDonaldTrump']
202	0.1027	['@realDonaldTrump', '@LouDobbs', '@HillaryClinton', '@JoeNBC']
203	0.0	
204	-0.6908	['@realDonaldTrump']
205	0.4939	['@realDonaldTrump']
206	0.5423	['@realDonaldTrump']
207	-0.4767	['@BarackObama', '@realDonaldTrump']
208	0.2732	['@CupcakesTLH', '@realDonaldTrump']
209	0.2023	['@realDonaldTrump']
210	0.0	
211	0.0	['@realDonaldTrump']
212	0.0	['@RealJamesComey', '@RichardPerry20', '@Jsauli11211', '@TrumpDoral', '@Bucky_Breeder', '@crawleykakes', '@patrioticpepe', '@realDonaldTrump']
213	0.0	['@selenagomez', '@HillaryClinton', '@hillaryduff24']
214	0.6369	['@birdieglad', '@HillaryClinton', '@abronxchick', '@Wary12', '@jihettly', '@Debi129']
215	0.743	['@MyPlace4U', '@daytrend', '@MONEY', '@realDonaldTrump']
216	0.0	['@realDonaldTrump']
217	0.0	
218	-0.5267	['@realDonaldTrump']
219	0.6597	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes']
220	-0.4404	
221	0.2732	['@realDonaldTrump', '@SuckMeter']
222	0.0	
223	-0.4767	['@ActivistBowen2', '@K1er']
224	0.4019	['@realDonaldTrump']
225	0.7003	['@realDonaldTrump', '@foxandfriends']
226	0.0	['@Morning_Joe', '@realDonaldTrump']
227	0.0	
228	0.0	
229	0.0258	
230	0.0	['@POTUS', '@HillaryClinton']
231	-0.5106	['@realDonaldTrump']
232	0.3818	['@Morning_Joe']
233	0.5267	['@realDonaldTrump']
234	0.0	
235	0.34	['@BarackObama', '@realDonaldTrump']
236	-0.3182	['@realDonaldTrump']
237	0.0	['@realDonaldTrump']
238	0.5267	['@realDonaldTrump']
239	0.0	['@realDonaldTrump']
240	0.0	['@USAforTrump2016', '@realDonaldTrump']
241	-0.0772	['@realDonaldTrump']
242	0.0	['@realDonaldTrump', '@SheriffClarke']
243	0.0	['@doglover100', '@realDonaldTrump']
244	0.0	['@donarndt248', '@HillaryClinton', '@Morning_Joe']
245	0.4019	['@morningmika', '@realDonaldTrump']
246	-0.802	['@JYSexton', '@realDonaldTrump']
247	-0.836	['@CLewandowski']
248	-0.765	['@realDonaldTrump']
249	-0.3182	['@realDonaldTrump']
250	0.4767	['@HillaryClinton']
251	-0.6486	['@SenToomey', '@HillaryClinton']
252	0.0	
253	-0.6597	['@realDonaldTrump']
254	0.34	['@ToddDracula', '@realDonaldTrump', '@vine']
255	0.2732	['@realDonaldTrump']
256	-0.5267	
257	0.0	['@realDonaldTrump']
258	-0.6808	
259	-0.6808	['@realDonaldTrump']
260	0.2732	['@realDonaldTrump', '@foxandfriends', '@FoxNews']
261	0.6369	['@realDonaldTrump']
262	0.2732	
263	0.3612	['@Juliet777777']
264	0.4404	['@ZinaCPierre', '@HillaryClinton']
265	-0.3612	
